t,phase,n,n_normal,p_used_gf,p_lplc2_only,mean_z_gf,mean_z_lplc2,mean_leak_share,mean_fitness
0,select,400,400,1.0,0.0,-0.0007127809157775988,0.0007413203619509487,0.3755910014254381,0.49981776936415867
1,select,386,0,1.0,0.0,-0.0004352073872163895,0.0016456009356214105,0.37601649337619597,0.4997370742118128
2,select,366,0,1.0,0.0,-0.00489022594376655,0.003577135647946318,0.3767348293805055,0.49966564199805
3,select,354,0,1.0,0.0,-0.003011922471391806,0.007443993890463142,0.3774575913943169,0.4996034710544705
4,select,324,0,1.0,0.0,-0.005408380407509133,0.005020893347291621,0.3769652499807644,0.49954333104713194
5,select,314,0,1.0,0.0,-0.005261267309658941,0.006012983923552089,0.37704925616546964,0.49948700980587907
6,select,306,0,1.0,0.0,-0.0030098695009756196,0.0067464656207268025,0.37763440398283254,0.4994060614483915
7,select,276,0,1.0,0.0,-0.006526245048091155,0.005836180590910154,0.37775826562418446,0.4993790677569905
8,select,276,0,1.0,0.0,-0.0062055274261309775,0.0020636566462584305,0.3782572400978468,0.49928207532953583
9,select,276,0,1.0,0.0,-0.005483691689270997,0.00045430365215076625,0.37730658028327635,0.49918874669275454
10,select,276,0,1.0,0.0,-0.0023790975518524363,-0.0009688831546546014,0.3782116723713322,0.4991689497883912
11,select,236,0,1.0,0.0,-0.0003216532331815065,0.0009237025373964672,0.3785850048986823,0.49911411460098687
12,select,212,0,1.0,0.0,0.005374374096090274,0.005420889108815712,0.3791341168185144,0.499027455819621
13,select,208,0,1.0,0.0,0.010965419020387489,0.00563379105837641,0.38120058309089744,0.498895985308161
14,select,172,0,0.9941860465116279,0.005813953488372093,0.011263632447933292,0.00393727452356977,0.3793148904138182,0.5018955023157411
15,select,170,0,0.9941176470588236,0.0058823529411764705,0.021093761102583923,-0.005239871451487431,0.37709772720032403,0.5018418450564647
16,select,158,0,1.0,0.0,0.016858578780176818,0.0034605015352414284,0.3769806408077167,0.4987281997325739
17,select,150,0,1.0,0.0,0.011745891561784802,0.002140514433530318,0.37722036094708367,0.49886568061553155
18,select,142,0,0.9929577464788732,0.007042253521126761,0.014649857958681291,-0.0032997551213641424,0.3746236986422862,0.5021149172497212
19,select,124,0,1.0,0.0,0.007771274216169976,-0.003174785185850015,0.37655502421680265,0.49873149067075656
20,select,124,0,0.9758064516129032,0.024193548387096774,0.0007506476524946458,-0.009791692698664534,0.3734745301646484,0.5107135984737247
21,select,122,0,0.9672131147540983,0.01639344262295082,-0.011802701315014054,-0.010496158355297729,0.3745687188891761,0.5106935281919192
22,select,116,0,0.9913793103448276,0.008620689655172414,-0.021049545801494086,-0.014787067631345243,0.3793095008953327,0.5027690704962882
23,select,116,0,0.9396551724137931,0.02586206896551724,-0.03759579982426399,-0.018254974166144813,0.3788123824498007,0.519827726256218
24,select,114,0,0.9912280701754386,0.008771929824561403,-0.03129050411964334,-0.01798498374986183,0.37934536087184934,0.5026687619628027
25,select,114,0,0.956140350877193,0.017543859649122806,-0.03350174615664114,-0.01615046551331444,0.37826834093438366,0.5134437532813109
26,select,104,0,0.9519230769230769,0.038461538461538464,-0.027372639477458126,-0.011914774786053347,0.37591410358320904,0.5194790620983103
27,select,103,0,0.9320388349514563,0.05825242718446602,-0.036037025672176905,-0.014379959155940402,0.37667100252717495,0.5293503699875067
